Source,Dataset name,Dataset Tag,Dataset save name,Done?,Link,Probe from,Probe to,Data type,Notes,,,# continuous,# multiclass,# binary,,Lot of data here,,,,,
,SAE BENCH,amazon_5star,cleaned_data/157_amazon_5star.csv,,https://github.com/adamkarvonen/SAEBench/blob/main/sae_bench/evals/sparse_probing/testing_notebooks/dataset_testing.ipynb,,,Binary Classification,,,,,,,,,,,,,
,,code_C,cleaned_data/158_code_C.csv,,,,,Binary Classification,,,,,,,,,,,,,
,,code_Python,cleaned_data/159_code_Python.csv,,,,,Binary Classification,,,,,,,,,,,,,
,,code_HTML,cleaned_data/160_code_HTML.csv,,,,,Binary Classification,,,,,,,,,,,,,
,,agnews_0,cleaned_data/161_agnews_0.csv,,,,,Binary Classification,,,,,,,,,,,,,
,,agnews_1,cleaned_data/162_agnews_1.csv,,,,,Binary Classification,,,,,,,,,,,,,
,,agnews_2,cleaned_data/163_agnews_2.csv,,,,,Binary Classification,,,,,,,,,,,,,
,,,,,,,,None,,,,,,,,,,,,,
,,,,,,,,None,,,,,,,,,,,,,
,,,,,,,,None,,,,,,,,,,,,,
,,,,,,,,None,,,,,,,,,,,,,
,,,,,,,,None,,,,,,,,,,,,,
,,,,,,,,None,,,,,,,,,,,,,
,,,,,,,,None,,,,,,,,,,,,,
,,,,,,,,None,,,,,,,,,,,,,
,,,,,,,,None,,,,,,,,,,,,,
,,,,,,,,None,,,,,,,,,,,,,
,,,,,,,,None,,,,,,,,,,,,,
,,,,,,,,None,,,,,,,,,,,,,
,,,,,,,,None,,,,,,,,,,,,,
